,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
36,"Gravel Pit (feat. RZA, Method Man, Ghostface Killah, Raekwon & U-God)",Legend Of The Wu-Tang: Wu-Tang Clan's Greatest Hits,Wu-Tang Clan,2004-10-26,253466,58,0.787,0.223,0.787,0.72,0.0,0.633,-7.569,0.313,121.003,4
37,"Shook Ones, Pt. II",The Infamous,Mobb Deep,1995-04-25,325506,74,0.763,0.0146,0.763,0.786,0.0114,0.0817,-6.472,0.229,93.857,4
38,Survival of the Fittest,The Infamous,Mobb Deep,1995-04-25,224533,69,0.813,0.125,0.813,0.703,1.26e-06,0.237,-5.077,0.268,94.828,4
39,Outta Control - Remix,Outta Control [International Version (Explicit)],50 Cent,2005-01-01,248253,0,0.774,0.029,0.774,0.593,0.0,0.0455,-5.989,0.274,91.989,4
40,Auditorium,The Ecstatic,Mos Def,2009-06-09,274480,0,0.403,0.0498,0.403,0.742,0.0,0.418,-5.889,0.338,90.336,4
41,Mathematics,Black On Both Sides,Mos Def,1999-10-12,246440,0,0.753,0.0285,0.753,0.749,0.0,0.0845,-6.132,0.316,93.79,4
42,Ms. Fat Booty,Black On Both Sides,Mos Def,1999-10-12,223515,0,0.781,0.148,0.781,0.589,0.0,0.166,-4.827,0.21,90.437,4
43,Supermagic,The Ecstatic,Mos Def,2009-06-09,152626,0,0.433,0.229,0.433,0.711,0.0,0.159,-5.043,0.255,88.876,4
44,History,The Ecstatic,Mos Def,2009-06-09,141386,0,0.5,0.674,0.5,0.854,0.0,0.285,-3.939,0.355,189.58,4
45,Priority,The Ecstatic,Mos Def,2009-06-09,82946,0,0.634,0.301,0.634,0.823,0.0,0.37,-5.089,0.198,92.031,4
46,Twilight Speedball,The Ecstatic,Mos Def,2009-06-09,182640,0,0.539,0.0877,0.539,0.701,0.0,0.107,-6.3,0.323,87.053,4
47,Express Yourself,Straight Outta Compton (Expanded Edition),N.W.A.,1988-08-08,265000,0,0.849,0.0369,0.849,0.627,0.0,0.184,-9.616,0.305,95.106,4
48,Straight Outta Compton,Straight Outta Compton (2002 - Remaster),N.W.A.,1988-08-08,259226,0,0.831,0.0374,0.831,0.935,0.0,0.33,-6.02,0.197,102.836,4
49,Killing Me Softly With His Song,The Score,Fugees,1996,298773,0,0.765,0.0279,0.765,0.29,1.02e-06,0.571,-17.117,0.139,92.409,4
50,"Me, Myself & I",Classic Hip-Hop,Various Artists,2011-05-17,230106,0,0.908,0.166,0.908,0.686,0.0,0.645,-15.841,0.0918,114.6,4
51,Hate It Or Love It,The Documentary,The Game,2005,206400,76,0.802,0.14,0.802,0.785,0.0,0.123,-4.781,0.207,99.998,4
52,Gangsta's Paradise - feat. L.V.,Rhino Hi-Five: Coolio,Coolio,2005-03-15,240466,0,0.636,0.0524,0.636,0.66,0.0,0.545,-6.77,0.0581,79.957,4
53,Can I Kick It?,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,1990-04-17,252066,0,0.867,0.161,0.867,0.554,0.0103,0.111,-13.634,0.249,96.668,4
54,Nas Is Like,Greatest Hits,Nas,2007-11-06,237466,0,0.704,0.00605,0.704,0.838,5.03e-06,0.0411,-5.065,0.32,94.49,4
55,No Introduction,Life Is Good,Nas,2012-07-17,255293,23,0.259,0.0047,0.259,0.883,0.0,0.172,-5.067,0.137,176.102,4
56,Summer On Smash,Life Is Good,Nas,2012-07-17,259813,21,0.591,0.015,0.591,0.766,0.0,0.107,-5.834,0.185,89.949,4
57,Accident Murderers,Life Is Good,Nas,2012-07-17,277653,24,0.545,0.29,0.545,0.884,0.0,0.37,-4.807,0.367,86.049,4
58,The Don,The Don (Explicit Version),Nas,2012-01-01,182746,0,0.632,0.00289,0.632,0.841,0.0,0.168,-5.154,0.228,91.926,4
59,Purple Pills,Devils Night,D12,2001-01-01,304506,0,0.774,0.0199,0.774,0.634,2.98e-05,0.29,-5.941,0.167,125.223,4
60,Ni**as In Paris,Watch The Throne (Deluxe),JAY-Z,2011-08-08,219333,82,0.789,0.127,0.789,0.858,0.0,0.349,-5.542,0.311,140.022,4
61,H•A•M,Watch The Throne (Deluxe),JAY-Z,2011-08-08,275733,55,0.657,0.0462,0.657,0.524,0.0,0.322,-4.907,0.061,140.021,4
62,Thrift Shop (feat. Wanz),Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2012-08-01,235613,67,0.781,0.0619,0.781,0.526,0.0,0.0457,-6.985,0.293,94.992,4
63,Dark Fantasy,My Beautiful Dark Twisted Fantasy,Kanye West,2010-01-01,280786,0,0.569,0.302,0.569,0.572,0.0,0.172,-5.893,0.0527,87.985,4
64,Harder Than You Think,How You Sell Soul to a Soulless People Who Sold Their Soul?,Public Enemy,2007-08-07,249521,60,0.484,0.0317,0.484,0.852,0.0,0.0547,-4.442,0.274,103.578,4
65,Fight The Power,Def Jam 25: Volume 5 - The Hit Men (Explicit),Various Artists,2009-01-01,277573,22,0.776,0.00572,0.776,0.941,2.61e-06,0.292,-1.931,0.223,105.98,4
66,Pubic Enemy,Peoples' Instinctive Travels & the Paths of Rhythm,A Tribe Called Quest,1990-04-17,226266,0,0.903,0.0157,0.903,0.695,0.141,0.105,-13.041,0.214,109.118,4
67,Fuck Tha Police - Remastered 2006,N.W.A. And Their Family Reunion,Various Artists,2008-01-01,314706,0,0.799,0.0095,0.799,0.87,0.0,0.18,-4.804,0.316,98.528,4
68,Murder To Excellence,Watch The Throne (Deluxe),JAY-Z,2011-08-08,300960,8,0.566,0.024,0.566,0.816,0.0,0.0804,-4.741,0.32,87.353,4
69,Gotta Have It,Watch The Throne (Deluxe),JAY-Z,2011-08-08,140746,15,0.74,0.411,0.74,0.574,0.0,0.262,-6.938,0.245,149.762,4
70,Donald Trump,Donald Trump - Single,Mac Miller,2011-05-17,165908,61,0.636,0.119,0.636,0.901,0.0,0.391,-7.094,0.118,162.994,4
71,Vato,Vato & Candy,Snoop Dogg,2006-01-01,283173,0,0.716,0.13,0.716,0.722,0.0,0.0531,-4.63,0.16,90.997,4
72,Rock The Bells,Radio,LL COOL J,1985-11-18,240933,0,0.892,0.00503,0.892,0.514,0.453,0.139,-12.829,0.12,98.461,4
73,I Love College,Ultimate R&B 2009 (International Version),Various Artists,2009-01-01,241440,17,0.716,0.0942,0.716,0.832,0.0,0.208,-4.407,0.241,86.464,4
74,Opposite of Adults,Opposite of Adults EP,Chiddy Bang,2010-02-19,195453,43,0.676,0.0139,0.676,0.889,0.0,0.329,-5.483,0.148,95.987,4
75,Runnin' (Dying To Live),Runnin' (Dying To Live) [International Version],2Pac,2003-01-01,231986,0,0.545,0.0467,0.545,0.796,0.000287,0.165,-2.762,0.406,166.122,4
76,Disco Nights,U.F.O. Files,The Beatnuts,2008-09-30,300920,9,0.921,0.0425,0.921,0.325,1.2e-06,0.125,-17.165,0.321,103.022,4
77,Se Acabo (feat. Method Man) - Remix,TAKE IT OR SQUEEZE IT,The Beatnuts,2001-03-10,212293,0,0.935,0.156,0.935,0.519,0.0,0.425,-6.482,0.31,96.97,4
78,Watch Out Now,A Musical Massacre (Explicit),The Beatnuts,1999-08-10,174800,52,0.783,0.0969,0.783,0.633,0.000994,0.154,-6.983,0.291,100.428,4
79,Da Rockwilder,Blackout!,Method Man,1999-09-28,136093,0,0.612,0.0137,0.612,0.659,0.0,0.417,-6.995,0.406,99.137,4
80,Part II,How High (Original Motion Picture Soundtrack),Various Artists,2001-01-01,244600,0,0.775,0.0383,0.775,0.837,0.0,0.315,-4.965,0.39,95.86,4
81,Rollin' (Urban Assault Vehicle),Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),Limp Bizkit,2000-01-01,382826,0,0.589,0.0451,0.589,0.884,0.0,0.0904,-4.918,0.324,90.036,4
82,MC's Act Like They Don't Know,20 RAP GEMS,Various Artists,2009-05-15,296040,18,0.816,0.00936,0.816,0.647,0.000299,0.601,-9.273,0.286,90.397,4
83,Put It On,Lifestylez Ov Da Poor & Dangerous,Big L,1995-03-28,217626,62,0.711,0.0175,0.711,0.62,0.0,0.134,-10.174,0.212,179.817,4
84,Deadly Combination,The Big Picture (Explicit Version),Big L,2000-08-01,148000,0,0.904,0.0941,0.904,0.523,0.0,0.288,-10.071,0.3,91.473,4
85,Fall Back,The Big Picture (Explicit Version),Big L,2000-08-01,169160,0,0.613,0.0544,0.613,0.777,6.81e-05,0.232,-5.477,0.312,100.907,4
86,Bad Day,The Preview,Chiddy Bang,2010-10-01,203160,35,0.828,0.145,0.828,0.651,0.0,0.0771,-6.96,0.154,105.969,4
87,The Good Life,The Preview,Chiddy Bang,2010-10-01,176946,28,0.756,0.0444,0.756,0.766,0.0,0.132,-7.448,0.112,94.999,4
88,All Eyez On Me,All Eyez On Me,2Pac,1996-02-13,307773,0,0.873,0.03,0.873,0.719,0.0,0.333,-5.948,0.248,93.281,4
