,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
38,Cinema,Harry's House,Harry Styles,2022-05-20,243507,88,0.829,0.354,0.829,0.644,0.0511,0.0944,-7.696,0.0427,105.993,4
39,Until I Found You,Until I Found You,Stephen Sanchez,2021-09-01,177720,87,0.539,0.727,0.539,0.508,0.0,0.174,-6.05,0.0288,101.358,3
40,Desesperados,VICE VERSA,Rauw Alejandro,2021-12-10,224996,85,0.869,0.356,0.869,0.694,0.00125,0.0878,-3.35,0.0783,90.02,4
41,Daydreaming,Harry's House,Harry Styles,2022-05-20,187342,88,0.707,0.311,0.707,0.811,0.0152,0.131,-5.298,0.0304,113.971,4
42,Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,173119,89,0.876,0.0706,0.876,0.498,0.0,0.143,-7.511,0.0478,122.016,4
43,Keep Driving,Harry's House,Harry Styles,2022-05-20,140241,87,0.721,0.321,0.721,0.479,0.00156,0.182,-9.669,0.226,164.948,3
44,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,189893,88,0.463,0.314,0.463,0.642,0.0,0.0686,-4.474,0.34,83.389,4
45,Where Are You Now,Where Are You Now,Lost Frequencies,2021-07-30,148197,90,0.671,0.515,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966,4
46,Envolver,Versions of Me,Anitta,2022-04-12,193805,78,0.812,0.152,0.812,0.736,0.00254,0.0914,-5.421,0.0833,91.993,4
47,Me Fui de Vacaciones,Un Verano Sin Ti,Bad Bunny,2022-05-06,180929,89,0.714,0.229,0.714,0.645,0.00083,0.0942,-5.493,0.0514,85.046,4
48,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,90,0.563,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,4
49,Te Felicito,Te Felicito,Shakira,2022-04-21,172235,87,0.695,0.234,0.695,0.636,0.0,0.081,-4.654,0.317,174.14,4
