,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
38,Sex With Me,ANTI (Deluxe),Rihanna,2016-01-28,206400,71,0.58,0.294,0.58,0.532,0.0,0.0948,-5.668,0.0424,112.049,4
39,Dilemma,Nellyville,Nelly,2002-06-25,289160,77,0.727,0.227,0.727,0.552,0.000164,0.198,-8.074,0.14,168.189,4
40,Smack That,Konvicted,Akon,2006-01-01,212360,78,0.939,0.321,0.939,0.742,0.0,0.107,-5.171,0.0467,118.978,4
41,Hit 'Em Up Style (Oops!),So Blu,Blu Cantrell,2001-01-18,250706,70,0.667,0.201,0.667,0.773,0.0,0.404,-4.983,0.0586,89.976,4
42,Chosen (feat. Ty Dolla $ign),No Love Lost (Deluxe),Blxst,2020-12-04,161684,79,0.571,0.336,0.571,0.767,0.0,0.0809,-5.16,0.287,93.421,4
43,I Hate U,I Hate U,SZA,2021-12-03,174000,80,0.535,0.507,0.535,0.388,0.0,0.11,-9.805,0.155,106.703,5
44,I Was Never There,"My Dear Melancholy,",The Weeknd,2018-03-30,241066,80,0.323,0.142,0.323,0.737,0.000162,0.163,-4.008,0.0338,113.26,4
45,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,232186,80,0.698,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,4
46,Been Like This,Planet Her,Doja Cat,2021-06-25,177373,71,0.678,0.126,0.678,0.531,3.44e-05,0.377,-5.029,0.0374,99.008,4
47,Kiss It Better,ANTI (Deluxe),Rihanna,2016-01-28,253080,73,0.619,0.272,0.619,0.806,0.0,0.0671,-4.8,0.0483,95.0,4
48,Infrunami,The Lo-Fis,Steve Lacy,2020-12-04,178328,74,0.826,0.31,0.826,0.299,0.0952,0.0758,-7.721,0.0446,97.012,4
49,Girls Need Love,Last Day Of Summer,Summer Walker,2018-10-19,140760,72,0.645,0.558,0.645,0.418,0.0003,0.562,-10.065,0.29,96.963,4
