,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,I Knew You Were Trouble.,Red,Taylor Swift,10/22/12,217973,62,0.622,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,4
40,Cake By The Ocean,DNCE,DNCE,11/18/16,219146,80,0.774,0.152,0.774,0.753,0,0.0371,-5.446,0.0517,119.002,4
41,Call Me Maybe,Kiss (Deluxe),Carly Rae Jepsen,1/1/12,193400,71,0.783,0.0114,0.783,0.58,2.28E-06,0.108,-6.548,0.0408,120.021,4
42,22,Red (Deluxe Edition),Taylor Swift,10/22/12,230133,57,0.658,0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,4
43,California Gurls,Teenage Dream: The Complete Confection,Katy Perry,3/12/12,234653,72,0.791,0.00446,0.791,0.754,0,0.163,-3.729,0.0569,125.014,4
44,Welcome To New York,1989,Taylor Swift,10/27/14,212600,60,0.793,0.038,0.793,0.634,1.76E-06,0.304,-4.807,0.0324,117.024,4
45,Our Song,Taylor Swift,Taylor Swift,10/24/06,201106,68,0.668,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,4
46,Love Story,Fearless,Taylor Swift,11/11/08,235266,67,0.618,0.17,0.618,0.741,0,0.0822,-3.95,0.031,118.984,4
47,Hey Stephen,Fearless,Taylor Swift,11/11/08,254306,47,0.841,0.194,0.841,0.544,2.48E-06,0.108,-7.347,0.0309,115.994,4
48,Style,1989 (Deluxe Edition),Taylor Swift,10/27/14,231000,61,0.588,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,4
49,Shake It Off,1989,Taylor Swift,10/27/14,219200,72,0.647,0.0561,0.647,0.785,0,0.148,-5.414,0.165,160.015,4
50,Mean,Speak Now,Taylor Swift,10/25/10,237733,63,0.568,0.452,0.568,0.761,0,0.217,-3.987,0.0459,163.974,4
51,Gorgeous,Gorgeous,Taylor Swift,10/20/17,209680,0,0.794,0.079,0.794,0.537,4.98E-06,0.227,-6.865,0.169,92.022,4
52,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift,10/24/06,203040,63,0.621,0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,4
53,All of Me,Love In The Future (Expanded Edition),John Legend,8/30/13,269560,83,0.422,0.922,0.422,0.264,0,0.132,-7.064,0.0322,119.93,4
54,Let Her Go,All the Little Lights,Passenger,6/29/12,252733,0,0.479,0.365,0.479,0.545,0,0.0963,-7.346,0.0688,74.897,4
55,Stay With Me,In The Lonely Hour,Sam Smith,1/1/14,172723,0,0.479,0.568,0.479,0.419,0.000217,0.11,-6.517,0.0389,85.014,4
56,The A Team,+,Ed Sheeran,9/9/11,258373,73,0.642,0.669,0.642,0.289,0,0.18,-9.918,0.0367,84.996,4
57,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,6/22/17,288876,65,0.599,0.0533,0.599,0.667,0,0.134,-4.267,0.0367,80.984,4
58,Mirrors,The 20/20 Experience,Justin Timberlake,3/15/13,484146,0,0.574,0.234,0.574,0.512,0,0.0946,-6.664,0.0503,76.899,4
59,Firework,Teenage Dream: The Complete Confection,Katy Perry,3/12/12,227880,71,0.638,0.139,0.638,0.826,0,0.0803,-4.968,0.0479,124.072,4
60,Perfect,÷ (Deluxe),Ed Sheeran,3/3/17,263400,84,0.599,0.163,0.599,0.448,0,0.106,-6.312,0.0232,95.05,3
61,What Do You Mean?,Purpose (Deluxe),Justin Bieber,11/13/15,205680,77,0.845,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4
62,Sorry Not Sorry,Tell Me You Love Me,Demi Lovato,9/29/17,203760,0,0.702,0.0223,0.702,0.635,0,0.283,-6.917,0.265,144.004,4
63,Stronger (What Doesn't Kill You),Stronger (Deluxe Version),Kelly Clarkson,10/24/11,221946,66,0.562,0.046,0.562,0.939,0,0.112,-4.282,0.0475,116.044,4
64,In Case You Didn't Know,Brett Young EP,Brett Young,1/1/16,224853,0,0.596,0.397,0.596,0.544,0,0.106,-7.294,0.0315,147.976,4
65,Singles You Up,Singles You Up,Jordan Davis,5/26/17,182693,51,0.635,0.0472,0.635,0.903,0,0.255,-3.588,0.0323,100.08,4
66,Craving You,Craving You,Thomas Rhett,3/31/17,227373,0,0.612,0.000907,0.612,0.841,0,0.37,-3.795,0.0353,104.986,4
67,All On Me,All On Me,Devin Dawson,2/17/17,227572,0,0.631,0.144,0.631,0.658,0,0.22,-5.313,0.0281,80.996,4
68,Light It Up,Light It Up,Luke Bryan,8/23/17,177292,0,0.596,0.129,0.596,0.935,0,0.108,-2.794,0.0855,130.029,4
69,Unforgettable,Life Changes,Thomas Rhett,9/8/17,157080,68,0.661,0.0303,0.661,0.75,0.000132,0.0849,-5.497,0.0314,130.077,4
70,I'll Name the Dogs,I'll Name the Dogs,Blake Shelton,9/8/17,183200,47,0.47,0.163,0.47,0.852,2.04E-06,0.281,-5.874,0.0933,168.063,4
71,Greatest Love Story,LANCO - EP,LANCO,4/15/16,222400,0,0.665,0.38,0.665,0.621,0,0.119,-8.571,0.0524,147.975,4
72,You Broke Up with Me,You Broke Up with Me,Walker Hayes,1/27/17,197840,53,0.846,0.496,0.846,0.711,0,0.247,-7.939,0.061,120.013,4
73,Kiss Somebody,Kiss Somebody,Morgan Evans,7/21/17,212445,52,0.492,0.143,0.492,0.681,0,0.199,-7.038,0.075,178.01,4
74,Like I Loved You,Brett Young,Brett Young,2/10/17,207186,63,0.582,0.196,0.582,0.568,0,0.0841,-6.051,0.0297,76.025,4
75,The Long Way,The Long Way,Brett Eldredge,5/12/17,208653,32,0.488,0.265,0.488,0.637,0,0.106,-7.63,0.0401,88.872,4
76,Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,8/11/17,163870,74,0.643,0.047,0.643,0.783,0,0.083,-6.458,0.0856,154.084,4
77,Getting Over You,Getting Over You,Jackie Lee,10/21/16,173186,0,0.442,0.0527,0.442,0.784,0,0.0597,-4.001,0.0344,170.139,4
78,Marry Me,Life Changes,Thomas Rhett,9/8/17,205453,69,0.333,0.0977,0.333,0.412,0,0.113,-8.633,0.029,85.028,4
79,What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,12/2/16,188253,72,0.612,0.00898,0.612,0.799,0,0.172,-4.603,0.0275,125.976,4
80,Do I Make You Wanna,Summer Forever,Billy Currington,6/2/15,234306,66,0.553,0.106,0.553,0.747,0,0.154,-5.432,0.0279,90.012,4
81,Happens Like That,Happens Like That,Granger Smith,5/19/17,171493,0,0.557,0.189,0.557,0.807,0,0.234,-5.428,0.0825,81.045,4
82,We Were That Song,We Were That Song,Brett Kissel,9/10/17,200280,0,0.618,0.216,0.618,0.911,0,0.132,-3.323,0.05,102.956,4
